"Unversity_name","Unversity_Sector","Unversity_City","Unversity_Address","Unversity_Phone","Unversity_Other_details"
"GHAZI UNIVERSITY","Public","Dera Ghazi Khan","Ghazi University, Dera Ghazi Khan - City Campus, College Chowk, Near Pul Dat.","+92-64-9260380","Email: info@gudgk.edu.pk
Fax:
URL:http://www.gudgk.edu.pk"
"GHULAM ISHAQ KHAN INSTITUTE OF ENGINEERING SCIENCES & TECHNOLOGY","","","","",""
"GIFT UNIVERSITY","Private","Gujranwala","Sialkot Bypass, Gujranwala, Pakistan.","+92-55-3892981","Email: info@gift.edu.pk
Fax:92 55 3890266
URL:http://www.gift.edu.pk"
"Global Institute, Lahore [HEC-NOC SUSPENDED]","","","","",""
"GOMAL UNIVERSITY","Public","Dera Ismail Khan","Indus HWY, DI Khan City, Dera Ismail Khan, Khyber Pakhtoonkhwa, Dera Ismail Khan, Pakistan","+92-966-750266, +92-966-750279","Email: submit.gomalujr@gmail.com
Fax:+92 966 750057
URL:http://www.gu.edu.pk/"
"GOVERNMENT COLLEGE FOR WOMEN UNIVERSITY, SIALKOT","","","","",""
"GOVERNMENT COLLEGE UNIVERSITY","Public","Faisalabad","Kotwali Rd, Faisalabad 38000, Pakistan.","+92-41-9200670, +92-41-9201266","Email: info@gcuf.edu.pk
Fax:(92)-041-9200671
URL:http://www.gcuf.edu.pk"
"GOVERNMENT COLLEGE UNIVERSITY, HYDERABAD","","","","",""
"GOVERNMENT COLLEGE UNIVERSITY, LAHORE","Public","Lahore","Near Nasir Bagh, Katchery Rd, Lahore 54000, Pakistan.","+92-42-111 000 010","Email: registrar@gcu.edu.pk
Fax:+92-42-99213337
URL:http://www.gcu.edu.pk"
"Government College Women University Faisalabad","","","","",""
"GOVERNMENT SADIQ COLLEGE WOMEN UNIVERSITY","Public","Bahawalpur","Government Sadiq College Women University, Bahawalpur.","+92-62-2284803, +92-62 9250075","Email: info@gscwu.edu.pk
Fax:
URL:https://www.gscwu.edu.pk/"
"GREENWICH UNIVERSITY","","","","",""
"HABIB UNIVERSITY","Private","Karachi","Habib University Foundation147, Block 7 & 8 Banglore Cooperative Housing SocietyTipu Sultan Road Karachi – 75350.","+92-21-111-042 242","Email: aamir.siddiqui@habib.edu.pk
Fax:
URL:http://www.habib.edu.pk"
"HAJVERY UNIVERSITY","","","","",""
"HAMDARD UNIVERSITY","Private","Karachi","Madinat-al-Hikmah, Sharea Madinat al-Hikmah, Muhammad Bin Qasim Avenue, Karachi 74600.","+92-21-36440030021, +92-21-364","Email: info@hamdard.edu.pk
Fax:(92-21) 36440045
URL:http://www.hamdard.edu.pk"
"HAZARA UNIVERSITY","","","","",""
"HITEC UNIVERSITY","Private","Taxila","Museum Road, Taxila Cantt","+92-51-4908142, +92-51-3010514","Email: assistant.registrar@hitecuni.edu.pk
Fax:051-4908145
URL:http://www.hitecuni.edu.pk"
"ILMA University","","","","",""
"Imperial College of Business Studies","Private","Lahore","Canal Bank Road Near Bahria Chowk, Lahore","+92-42-35978525-32","Email: admissions@imperial.edu.pk
Fax:
URL:http://imperial.edu.pk/"
"INDUS UNIVERSITY","","","","",""
"INDUS VALLEY SCHOOL OF ART & ARCHITECTURE","Private","Karachi","Street 33, Block 2, Scheme-5, Clifton, Karachi.75600","+92-21-111-111-487","Email: info@ivs.edu.pk
Fax:
URL:http://www.indusvalley.edu.pk"
"INFORMATION TECHNOLOGY UNIVERSITY OF THE PUNJAB","","","","",""
"Institute for Art and Culture","Private","Lahore","Mian Riwand Road, Lahore Pakistan","+92-42-32590040-7","Email: info@iac.edu.pk
Fax:
URL:https://iac.edu.pk/"
"INSTITUTE OF BUSINESS & TECHNOLOGY","","","","",""
"INSTITUTE OF BUSINESS ADMINISTRATION","Public","Karachi","Plot # 68 & 88 Garden / Kayani Shaheed Road, Karachi - 74400 Pakistan","92-21-38104700","Email: info@khi.iba.edu.pk
Fax:92-21-99261508
URL:http://www.iba.edu.pk"
"INSTITUTE OF BUSINESS MANAGEMENT","","","","",""
"INSTITUTE OF MANAGEMENT SCIENCES","Public","Peshawar","I-A, Sector E-5, Phase-VII, Hayatabad, Peshawar.","091-9217408,091-9217443,091-9","Email: info@imsciences.edu.pk
Fax:091-5861026,091-9217
URL:http://www.imsciences.edu.pk"
"INSTITUTE OF MANAGEMENT SCIENCES, Lahore","","","","",""
"INSTITUTE OF SOUTHERN PUNJAB","Private","Multan","9-KM, Bosan Road, Multan, Pakistan","+92-61-111-786-477","Email: info@isp.edu.pk
Fax:+92-61-6522166
URL:http://isp.edu.pk/"
"INSTITUTE OF SPACE TECHNOLOGY","","","","",""
"INTERNATIONAL ISLAMIC UNIVERSITY","Public","Islamabad","Sector H-10، Islamabad 44000, Pakistan","+92-51-9257988, +92-51-9019616","Email: khalidmraja@iiu.edu.pk
Fax:
URL:http://www.iiu.edu.pk/"
"IQRA NATIONAL UNIVERSITY","","","","",""
"IQRA UNIVERSITY","Private","Karachi","Defence View, Shaheed-e-Millat Road, (Ext), Karachi.","+92-21-35310802, +92-21-353108","Email: registrar@iqra.edu.pk
Fax:
URL:http://www.iqra.edu.pk"
"ISLAMIA COLLEGE UNIVERSITY","","","","",""
"ISLAMIA UNIVERSITY","Public","Bahawalpur","The Islamia University of Bahawalpur Pakistan.","92 - 62 - 9250235","Email: info@iub.edu.pk
Fax:92 - 62 - 9250335
URL:http://www.iub.edu.pk"
"ISRA UNIVERSITY","","","","",""
"JINNAH SINDH MEDICAL UNIVERSITY","Public","Karachi","Rafique H.J Shaheed Road, Karachi.","+92-21-99204776, +92-21- 35223","Email: admissions@jsmu.edu.pk
Fax:99201372
URL:http://www.jsmu.edu.pk"
"JINNAH UNIVERSITY FOR WOMEN","","","","",""
"KARACHI INSTITUTE OF ECONOMICS & TECHNOLOGY","Private","Karachi","PAF-KIET Main Campus Korangi Creek, Karachi 75190","+92-21-35091114-7","Email: registrar@pafkiet.edu.pk
Fax:(9221) 35091118
URL:http://www.pafkiet.edu.pk"
"KARACHI SCHOOL FOR BUSINESS & LEADERSHIP","","","","",""
"KARAKURUM INTERNATIONAL UNIVERSITY","Public","Gilgit","Karakoram International University, Main Campus University Road Gilgit (15100) Pakistan","+92-5811-960440","Email: info@kiu.edu.pk
Fax:051-9266853
URL:http://www.kiu.edu.pk"
"KASB INSTITUTE OF TECHNOLOGY","","","","",""
"KHAWAJA FREED UNIVERSITY OF ENGINEERING & INFORMATION TECHNOLOGY","Public","Rahim Yar Khan","Abu Dhabi Road, Rahim Yar Khan","+92-68-9239121, +92-68-9239122","Email: info@kfueit.edu.pk
Fax:
URL:http://www.kfueit.edu.pk/"
"Khushal Khan Khattak University","","","","",""
"KHYBER MEDICAL UNIVERSITY","Public","Peshawar","PDA building Block-4 Phase-5 Hayatabad Peshawar","+92-91- 9217695","Email: info@kmu.edu.pk
Fax:+92919217704
URL:http://www.kmu.edu.pk"
"KHYBER PAKHTUNKHWA AGRICULTURAL UNIVERSITY","","","","",""
"KING EDWARD MEDICAL UNIVERSITY","Public","Lahore","Nelagumbad near New Anarkali, Lahore.","+92-42-99211151, +92-42-373540","Email: info@kemu.edu.pk
Fax:
URL:http://www.kemu.edu.pk"
"KINNAIRD COLLEGE FOR WOMEN","","","","",""
"KOHAT UNIVERSITY OF SCIENCE AND TECHNOLOGY","Public","Kohat","Bannu Rd, Kohat 26000, Khyber Pakhtunkhwa.","+92-922-554578, +92-922-529147","Email: registrar@kust.edu.pk
Fax:
URL:http://www.kust.edu.pk"
"LAHORE COLLEGE FOR WOMEN UNIVERSITY","","","","",""
"LAHORE GARRISON UNIVERSITY","Private","Lahore","Main Campus, Sector C, DHA Phase-VI, Lahore.","+92-42-37181821-22","Email: info@lgu.edu.pk
Fax:92 42 36603090
URL:http://lgu.edu.pk/"
"LAHORE LEADS UNIVERSITY","","","","",""
"LAHORE SCHOOL OF ECONOMICS","Private","Lahore","Intersection Main Boulevard Phase VI DHA, Burki 53200, Lahore.","+ 92 42 36560675","Email: qaisar@lahoreschool.edu.pk
Fax:+ 92 42 36560905
URL:http://www.lahoreschoolofeconomics.edu.pk"
"LAHORE UNIVERSITY OF MANAGEMENT SCIENCES","","","","",""
"LASBELA UNIVERSITY OF AGRICULTURE, WATER & MARINE SCIENCES","Public","Lasbela","Lasbela University of Agriculture, Water and Marine Sciences, Uthal, District Lasbela","0853-610846","Email: pvc@luawms.edu.pk
Fax:0853-610294
URL:http://www.luawms.edu.pk/"
"LIAQUAT UNIVERSITY OF MEDICAL & HEALTH SCIENCES","","","","",""
"MEHRAN UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Jamshoro","Indus Highway, Jamshoro 76062, Pakistan.","+92 (22) 2772250-73","Email: registrar@admin.muet.edu.pk
Fax:+92 (22) 2772281
URL:http://www.muet.edu.pk"
"MINHAJ UNIVERSITY","","","","",""
"MIRPUR UNIVERSITY OF SCIENCE & TECHNOLOGY","Public","Mirpur","Mirpur University of Science and Technology (MUST), Admin Block, Allama Iqbal Road, Sector B-3, Mirpur.","+92-5827-961034","Email: info@must.edu.pk
Fax:+92-5827-961040 / 42
URL:http://www.must.edu.pk"
"Mohi-ud-Din Islamic University","","","","",""
"MUHAMMAD ALI JINNAH UNIVERSITY","Private","Karachi","22-E, Block-6, PECHS, Karachi 75400","+92-21-111-87-87-87, +92-21-34","Email: info@jinnah.edu
Fax:+92-21-3431-1327
URL:http://www.jinnah.edu"
"MUHAMMAD NAWAZ SHAREEF UNIVERSITY OF AGRICULTURE","","","","",""
"MUHAMMAD NAWAZ SHARIF UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Multan","GCT, Old Bahwalpur Road, Multan.","+92-61-4482453","Email: info@mnsuet.edu.pk
Fax:
URL:http://www.mnsuet.edu.pk/"
"MUSLIM YOUTH UNIVERSITY","","","","",""
"NATIONAL COLLEGE OF ARTS","Public","Lahore","4, Shahrah-E-Quaid-E-Azam, Lahore,Pakistan","+92 42 99210599, 99210601","Email: info@nca.edu.pk
Fax:+92 42 99210500
URL:http://www.nca.edu.pk"
"NATIONAL COLLEGE OF BUSINESS ADMINISTRATION & ECONOMICS","","","","",""
"NATIONAL DEFENSE UNIVERSITY","Public","Islamabad","Sector E-9, Islamabad","051-9262066-68","Email: gso1trg@ndu.edu.pk
Fax:
URL:http://www.ndu.edu.pk/"
"NATIONAL TEXTILE UNIVERSITY","","","","",""
"NATIONAL UNIVERSITY OF COMPUTER & EMERGING SCIENCES (FAST)","Private","Islamabad","A.K Brohi Road , Sector H-11/4, Islamabad.","+92-51-111 128 128, +92-51-831","Email: admissions@nu.edu.pk
Fax: (051) 410 0619
URL:http://www.nu.edu.pk/"
"NATIONAL UNIVERSITY OF MEDICAL SCIENCES","","","","",""
"NATIONAL UNIVERSITY OF MODERN LANGUAGES (NUML)","Public","Islamabad","National University of Modern Languages H-9 Islamabad ,Pakistan.","+92-51-111-11-6878, +92-51-908","Email: info@numl.edu.pk
Fax:+92-51-9258655
URL:http://www.numl.edu.pk/"
"NATIONAL UNIVERSITY OF SCIENCES & TECHNOLOGY","","","","",""
"National University of Technology (NUTECH)","Public","Islamabad","National University of Technology (NUTECH), IJP Road, Sector I-12, Islamabad.","+92-51-5476768","Email: info@nutech.edu.pk
Fax:
URL:https://nutech.edu.pk/"
"NAZEER HUSSAIN UNIVERSITY","","","","",""
"NED UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Karachi","NED University of Engineering & Technology University Road, Karachi - 75270, Pakistan","+92-21-99261253, +92-21-99261","Email: registrar@neduet.edu.pk
Fax:(92-21) 99261255
URL:http://www.neduet.edu.pk"
"NEWPORT INSTITUTE OF COMMUNICATIONS & ECONOMICS","","","","",""
"NFC INSTITUTE OF ENGINEERING & TECHNOLOGY","Public","Multan","NFC Institute of Engineering and Technology, Opposite Pak Arab Fertilizers, Khanewal Road, Multan, Pakistan","+92-61-9220044, +92-61-9220012","Email: info@nfciet.edu.pk
Fax:+ 92 61 9220018
URL:http://www.nfciet.edu.pk"
"Nishtar Medical University Multan","","","","",""
"NORTHERN UNIVERSITY NOWSHERA","Private","Nowshera","The Northern University (Main Campus), Wattar Walai Ziarat, Kaka Sahib Road Nowshera, KPK, PK","+92-923-613487, +92-923-613485","Email: info@northern.edu.pk
Fax:
URL:http://www.northern.edu.pk"
"NUR INTERNATIONAL UNIVERSITY","","","","",""
"Pak-Austria Fachhochschule Institute of Applied Sciences and Technology, Haripur","Public","Haripur","Mang, Haripur-Khyber Pakhtunkhwa Pakistan","+92-995-645112-18","Email: info@paf-iast.edu.pk
Fax:
URL:https://www.paf-iast.edu.pk/"
"PAKISTAN INSTITUTE OF DEVELOPMENT ECONOMICS (PIDE)","","","","",""
"PAKISTAN INSTITUTE OF ENGINEERING & APPLIED SCIENCES","Public","Islamabad","Nilore, Islamabad, Pakistan.","+92 51 1111 74327","Email: registrar@pieas.edu.pk
Fax:+92 51 924 8600
URL:http://www.pieas.edu.pk/"
"PAKISTAN INSTITUTE OF FASHION & DESIGN","","","","",""
"Pakistan Military Academy","Public","Abbottabad","Kakul Road, Abbottabad Pakistan","92 (0)992 - 363643","Email: missing@pma.edu.pk
Fax:
URL:http://www.pma.edu.pk"
"PAKISTAN NAVAL ACADEMY","","","","",""
"PEOPLES UNIVERSITY OF MEDICAL & HEALTH SCIENCES FOR WOMEN","Public","Nawabshah","Peoples University of Medical & Health Sciences for Women, Nawabshah 67480 (SBA).","+92-244-9370260","Email: registrar@pumhs.edu.pk
Fax:+92-244-9370261
URL:http://www.pumhs.edu.pk"
"PIR MEHR ALI SHAH ARID AGRICULTURE UNIVERSITY","","","","",""
"Preston Institute of Management, Science & Technology (Banned for admissions w.e.f 10-06-2017)","Private","Karachi","177/2, IEP Building, Karachi, Pakistan","0921-32789888-90","Email: admissions@pimsat-khi.edu.pk
Fax:
URL:https://pimsat-khi.edu.pk"
"PRESTON UNIVERSITY","","","","",""
"PRESTON UNIVERSITY","Private","Karachi","Main Campus:15, Banglore Town, Shahrah-e-Faisal,Karachi.","+92-21-34398727","Email: karachi@preston.edu.pk
Fax:021-34525881
URL:http://www.preston.edu.pk"
"Punjab Tianjin University of Technology, Lahore","","","","",""
"QARSHI UNIVERSITY","Private","Lahore","Qarshi University 8-Km Thokar Niaz baig, Canal Bank Road, Opposite lzmir Town, Lahore- Pakistan. 54000","+92-42-37576946,+92-42-3742976","Email: info@qu.edu.pk
Fax:
URL:http://www.qu.edu.pk"
"QUAID-E-AWAM UNIVERSITY OF ENGINEERING, SCIENCES & TECHNOLOGY","","","","",""
"QUAID-I-AZAM UNIVERSITY","Public","Islamabad","Quaid-i-Azam University Islamabad, 45320, Pakistan.","+92-051-9064 0000","Email: info@qau.edu.pk
Fax:+92-51-90644110
URL:https://www.qau.edu.pk/"
"QURTABA UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY","","","","",""
"RIPHAH INTERNATIONAL UNIVERSITY","Private","Islamabad","Sector I-14, Hajj Complex, Islamabad.","+92 (51) 844 6000-7","Email: admissions@riphah.edu.pk
Fax:+92 (51) 831 3141
URL:https://www.riphah.edu.pk/"
"SARDAR BAHADUR KHAN WOMEN UNIVERSITY","","","","",""
"SARHAD UNIVERSITY OF SCIENCE & INFORMATION TECHNOLOGY","Private","Peshawar","Sarhad University Landi Akhun Ahmad, Hayatabad Link. Ring Road, Peshawar, Pakistan","+92-91-5230931","Email: registrar@suit.edu.pk
Fax:
URL:http://www.suit.edu.pk"
"SHAH ABDUL LATIF UNIVERSITY","","","","",""
"SHAHEED BENAZIR BHUTTO CITY UNIVERSITY","Private","Karachi","Plot F-201 1st floor & 2nd Floor, Near Site Philips Chowrangi, Labour Square, Site Police Station, Binoria Restaurant, Karachi.","+92-21-34242136, +92-21-342420","Email: info@sbbcu.edu.pk
Fax:
URL:http://www.sbbcu.edu.pk"
"SHAHEED BENAZIR BHUTTO DEWAN UNIVERSITY","","","","",""
"Shaheed Benazir Bhutto University","Public","Amilcar","Sheringal, Upper Dir, Khyber Pakhtunkhwa","+92-944-885529","Email: registrar@sbbu.edu.pk
Fax:+92-944-885805
URL:http://www.sbbu.edu.pk"
"Shaheed Benazir Bhutto University","","","","",""
"SHAHEED BENAZIR BHUTTO UNIVERSITY OF VETERINARY & ANIMAL SCIENCES","Public","Nawabshah","Main Nawabshah road, Sakrand, District Shaheed Benazirabad","+92-244-322150","Email: info@sbbuvas.edu.pk
Fax:0244 322151
URL:http://www.sbbuvas.edu.pk"
"SHAHEED BENAZIR BHUTTO UNIVERSITY, SHAHEED BENAZIRABAD","","","","",""
"SHAHEED BENAZIR BHUTTO WOMEN UNIVERSITY","Public","Peshawar","Shaheed Benazir Bhutto Women University, Opposite Fort Balahisar near LRH, Peshawar Pakistan.","+92-91-9212422, +92-91-922 477","Email: info@sbbwu.edu.pk
Fax:+92-91-9224707
URL:http://www.sbbwu.edu.pk"
"SHAHEED MOHTARMA BENAZIR BHUTTO MEDICAL UNIVERSITY","","","","",""
"SHAHEED ZULFIKAR ALI BHUTTO INSTITUTE OF SCIENCE & TECHNOLOGY","Private","Karachi","SZABIST 90 and 100 Clifton, Karachi 75600, Pakistan","(92-21) 111-922-478","Email: info@szabist.edu.pk
Fax: (92-21) 35830446
URL:http://www.szabist.edu.pk"
"SHAHEED ZULFIQAR ALI BHUTTO MEDICAL UNIVERSITY","","","","",""
"SHAHEED ZULFIQAR ALI BHUTTO UNIVERSITY OF LAW","Public","Karachi","Chaudry Khaliq-uz-Zaman Road, Near Lilly Bridge, Clifton, Karachi.","+92-21-99206452-53","Email: info@szabul.edu.pk
Fax:021-99206425
URL:http://www.szabul.edu.pk"
"SHIFA TAMEER-E-MILLAT UNIVERSITY","","","","",""
"ShifaTameer-E-Millat University","Private","Islamabad","Shifa Tameer-e-Millat University Pitras Bukhari Road, H-8/4 Islamabad","+92-51-8464214","Email: info@stmu.edu.pk
Fax:
URL:https://stmu.edu.pk/"
"Shuhada-e-Army Public School University of Technology, Nowshera","","","","",""
"SINDH AGRICULTURE UNIVERSITY","Public","Hyderabad","Sindh Agriculture Univeristy, Tandojam Hyderabad, Sindh Pakistan Postal Code: 70060","+ 92-22-2765870","Email: info@sau.edu.pk
Fax:92-22-2765300
URL:http://www.sau.edu.pk"
"SINDH INSTITUTE OF MANAGEMENT & TECHNOLOGY","","","","",""
"SINDH INSTITUTE OF MEDICAL SCIENCES","Private","Karachi","Civil Hospital Karachi 74200, Pakistan","(92-21) 99215752 & 99215718","Email: info@siut.org
Fax: (92-21) 99215469 ,
URL:http://www.siut.org"
"SINDH MADRESATUL ISLAM UNIVERSITY","","","","",""
"SIR SYED UNIVERSITY OF ENGINEERING & TECHNOLOGY","Private","Karachi","Main University Road, Karachi 75300, Pakistan","+92 21 3498-8000","Email: info@ssuet.edu.pk
Fax:+92 21 3498238
URL:http://www.ssuet.edu.pk"
"Sohail University","","","","",""
"SUKKUR INSTITUTE OF BUSINESS ADMINISTRATION","Public","Sukkur","Main Campus, Airport Road, Sukkur","071-5644000-05","Email: shoukat.abbasi@iba-suk.edu.pk
Fax:92-71-5804419
URL:http://www.iba-suk.edu.pk"
"TEXTILE INSTITUTE OF PAKISTAN","","","","",""
"The Bolan University of Medical and Health Sciences, Quetta","Public","Quetta","The Bolan University of Medical & Health Sciences. Brewery Road,Quetta Balochistan, Pakistan","+92-81-9213070","Email: registrar@bumhs.edu.pk
Fax:
URL:http://www.bumhs.edu.pk/"
"THE SUPERIOR COLLEGE","","","","",""
"The University of Agriculture, Peshawar","Public","Peshawar","The University of Agriculture, Peshawar Pakistan","+92-91-9221263","Email: registrar@aup.edu.pk
Fax:+92-91-9221262
URL:http://www.aup.edu.pk/"
"THE UNIVERSITY OF FAISALABAD","","","","",""
"The University of Lakki Marwat","Public","Lakki Marwat","The University of Lakki Marwat GPGC (Boys), District Lakki Marwat Khyber Pakhtunkhwa","+92-969-511819","Email: ulm_2017@outlook.com
Fax:
URL:http://www.ulm.edu.pk"
"THE WOMEN UNIVERSITY","","","","",""
"UNIVERSITY OF AGRICULTURE","Public","Faisalabad","University of Agriculture University Main Rd، Faisalabad, Pakistan.","+92 41 9200161-70","Email: contact_us@uaf.edu.pk
Fax: +92 41 9200764
URL:http://www.uaf.edu.pk"
"UNIVERSITY OF AZAD JAMMU & KASHMIR","","","","",""
"UNIVERSITY OF BALOCHISTAN","Public","Quetta","University of Balochistan, Sariab Road Quetta.","+92-81-9211124","Email: registrar@um.uob.edu.pk
Fax:081-9211-277
URL:http://www.uob.edu.pk"
"University of Baltistan, Skardu","","","","",""
"University of Buner","Public","Buner","University of Buner Sowari, Buner, Khyber Pakhtunkhwa","+92-939-555211","Email: registrar@ubuner.edu.pk
Fax:
URL:https://www.ubuner.edu.pk/"
"UNIVERSITY OF CENTRAL PUNJAB","","","","",""
"University of Chitral","Public","Chitral","University of Chitral Seen, Lasht Chitral, Khyber Pakhtunkhwa","+92-943-412401","Email: registrar@uoch.edu.pk
Fax:
URL:http://www.uoch.edu.pk"
"UNIVERSITY OF EDUCATION","","","","",""
"UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Peshawar","University of Engineering & Technology, Peshawar, Pakistan","(+92-91)9216796-8","Email: registrar@uetpeshawar.edu.pk
Fax:(+92-91) 9216663
URL:http://www.uetpeshawar.edu.pk"
"UNIVERSITY OF ENGINEERING & TECHNOLOGY","","","","",""
"UNIVERSITY OF ENGINEERING & TECHNOLOGY","Public","Taxila","University of Engg. & Technology (UET) Taxila.","+92 51-9047-400","Email: nfo@uettaxila.edu.pk
Fax:+92 51-9047-420
URL:http://www.uettaxila.edu.pk"
"University of Engineering & Technology (UET), Mardan","","","","",""
